conditionId,is_structurally_dead,done_clob_48h
0x3dc41e15ab0b1dd0499e89b4e63f743db5164dc431b28bd70b4164d58d9c2196,False,True
0x97426536a8495431827651cc2b45ee3d9cfa4792eea92c2963e13476e856db32,False,True
0xe074ca0f22e9b82f3cf1b83866387288fb82221a1cf1defe216b711525302a9a,False,True
0x759cde24a608f429aa8b5cd7f06b2348925f8b62ee0f3c44bb2bf39eb884e97a,False,True
0xcd6da828b80dd867a3706f0dfe6d3a8b1faeace44a9bd4995422734deba555b4,False,True
0x0e2716173aa1c6fa290406bbb07b57eb0fe636584368173a25a5e1459fbbfcb2,False,True
0x7a5adffd2afdcf6be785b73d8154d04ba5add0bca4d6e1ebcbfd42102ef95677,False,True
0xec6402396c09097512cbf9ad9854700e076d8867331bffad45677476f14cdc15,False,True
0x71497b65d423598e7ceb154b622a84127d2ff1e7dd9dbfdf6552cc59fa0aab3a,False,True
0xd6165c1a30269d0799b27ee6ea90c048dfd6b27276cbd2aa7e18fe1c4562faa8,False,True
0x6f8871ab38ac7724536b271ba2df72999e712e239673157ae4809dd1c05934dc,False,True
